# Snapshot of LLE THROUGH-PORT spectrum
# timestamp=20260713_112956, j=554300, DV=11.747159090895252, P_in_W=0.00943581514737261, kappa_ex=1516139.3812852972
# columns: mu, f_Hz, f_THz, lambda_m, lambda_nm, P_through_dBm, P_through_W
-2.050000000000000000e+02,1.858248615582743125e+14,1.858248615582743071e+02,1.613306505308417467e-06,1.613306505308417400e+03,-1.527844259695043547e+02,5.266928261315964660e-19
-2.040000000000000000e+02,1.858600615582743125e+14,1.858600615582743103e+02,1.613000961511053143e-06,1.613000961511053220e+03,-1.544961457147362580e+02,3.551284194936781019e-19
-2.030000000000000000e+02,1.858952615582743125e+14,1.858952615582743135e+02,1.612695533425532019e-06,1.612695533425531949e+03,-1.557395612744289224e+02,2.667128084981359267e-19
-2.020000000000000000e+02,1.859304615582743125e+14,1.859304615582743168e+02,1.612390220986134926e-06,1.612390220986134864e+03,-1.495648805775822154e+02,1.105380864758790487e-18
-2.010000000000000000e+02,1.859656615582743125e+14,1.859656615582743200e+02,1.612085024127192671e-06,1.612085024127192582e+03,-1.494811250802483471e+02,1.126905483011436827e-18
-2.000000000000000000e+02,1.860008615582743125e+14,1.860008615582742948e+02,1.611779942783085611e-06,1.611779942783085517e+03,-1.464901752596157394e+02,2.243791373714740403e-18
-1.990000000000000000e+02,1.860360615582743125e+14,1.860360615582742980e+02,1.611474976888243867e-06,1.611474976888243873e+03,-1.556967895435525691e+02,2.693525216031379556e-19
-1.980000000000000000e+02,1.860712615582743125e+14,1.860712615582743013e+02,1.611170126377147112e-06,1.611170126377147199e+03,-1.555287923738371205e+02,2.799759729953726703e-19
-1.970000000000000000e+02,1.861064615582743125e+14,1.861064615582743045e+02,1.610865391184324568e-06,1.610865391184324608e+03,-1.443928725273309794e+02,3.636744136243846626e-18
-1.960000000000000000e+02,1.861416615582743125e+14,1.861416615582743077e+02,1.610560771244355011e-06,1.610560771244355010e+03,-1.503700413137033536e+02,9.183238605816509013e-19
-1.950000000000000000e+02,1.861768615582743125e+14,1.861768615582743109e+02,1.610256266491866979e-06,1.610256266491866882e+03,-1.418837846621590302e+02,6.480694268620057712e-18
-1.940000000000000000e+02,1.862120615582743125e+14,1.862120615582743142e+02,1.609951876861538138e-06,1.609951876861538040e+03,-1.651111676459554189e+02,3.082359114476657261e-20
-1.930000000000000000e+02,1.862472615582743125e+14,1.862472615582743174e+02,1.609647602288095282e-06,1.609647602288095186e+03,-1.534316339984231092e+02,4.537708568553336764e-19
-1.920000000000000000e+02,1.862824615582743125e+14,1.862824615582743206e+02,1.609343442706315180e-06,1.609343442706315273e+03,-1.407193288677599980e+02,8.473583496215484957e-18
-1.910000000000000000e+02,1.863176615582743125e+14,1.863176615582742954e+02,1.609039398051023307e-06,1.609039398051023227e+03,-1.464249299659290671e+02,2.277754972502944613e-18
-1.900000000000000000e+02,1.863528615582743125e+14,1.863528615582742987e+02,1.608735468257094897e-06,1.608735468257094908e+03,-1.386442643679115179e+02,1.366386502216273465e-17
-1.890000000000000000e+02,1.863880615582743125e+14,1.863880615582743019e+02,1.608431653259453892e-06,1.608431653259453924e+03,-1.493721997446823764e+02,1.155526808136208906e-18
-1.880000000000000000e+02,1.864232615582743125e+14,1.864232615582743051e+02,1.608127952993073574e-06,1.608127952993073677e+03,-1.471735009825369787e+02,1.917122665534530158e-18
-1.870000000000000000e+02,1.864584615582743125e+14,1.864584615582743083e+02,1.607824367392976349e-06,1.607824367392976455e+03,-1.384889920422280625e+02,1.416122410879204051e-17
-1.860000000000000000e+02,1.864936615582743125e+14,1.864936615582743116e+02,1.607520896394233968e-06,1.607520896394233887e+03,-1.385441651501005254e+02,1.398245676064559786e-17
-1.850000000000000000e+02,1.865288615582743125e+14,1.865288615582743148e+02,1.607217539931966457e-06,1.607217539931966485e+03,-1.368549145828974929e+02,2.063044242896173126e-17
-1.840000000000000000e+02,1.865640615582743125e+14,1.865640615582743180e+02,1.606914297941343823e-06,1.606914297941343875e+03,-1.403088813775831341e+02,9.313477339820918036e-18
-1.830000000000000000e+02,1.865992615582743125e+14,1.865992615582743213e+02,1.606611170357583926e-06,1.606611170357583887e+03,-1.411833210032594934e+02,7.614964791471819664e-18
-1.820000000000000000e+02,1.866344615582743125e+14,1.866344615582742961e+02,1.606308157115954178e-06,1.606308157115954145e+03,-1.381892415353676995e+02,1.517315332725428897e-17
-1.810000000000000000e+02,1.866696615582743125e+14,1.866696615582742993e+02,1.606005258151770698e-06,1.606005258151770704e+03,-1.323767941949241731e+02,5.785229345743747286e-17
-1.800000000000000000e+02,1.867048615582743125e+14,1.867048615582743025e+02,1.605702473400398307e-06,1.605702473400398276e+03,-1.370218998682252902e+02,1.985226268649200978e-17
-1.790000000000000000e+02,1.867400615582743125e+14,1.867400615582743058e+02,1.605399802797250530e-06,1.605399802797250459e+03,-1.343333843117933100e+02,3.686901786585789210e-17
-1.780000000000000000e+02,1.867752615582743125e+14,1.867752615582743090e+02,1.605097246277789599e-06,1.605097246277789509e+03,-1.364764292498205691e+02,2.250904529062149795e-17
-1.770000000000000000e+02,1.868104615582743125e+14,1.868104615582743122e+02,1.604794803777526659e-06,1.604794803777526568e+03,-1.416610475939373543e+02,6.821741220130462025e-18
