# Snapshot of intracavity temporal pulse
# timestamp=20260713_112956, j=554300, DV=11.747159090895252, S=3.4641016151377544
# columns: tau_ps, |E(tau)|^2_norm
-1.136919587262053000e+01,8.786523019878064722e-02
-1.131360078277886494e+01,8.732642299776764705e-02
-1.125800569293719988e+01,8.658406215862936295e-02
-1.120241060309553482e+01,8.560785013026316059e-02
-1.114681551325386977e+01,8.436728613495626805e-02
-1.109122042341220471e+01,8.283361830383877134e-02
-1.103562533357053965e+01,8.098369848183785413e-02
-1.098003024372887459e+01,7.880717676475228195e-02
-1.092443515388720776e+01,7.631935705642722834e-02
-1.086884006404554448e+01,7.358343982397952399e-02
-1.081324497420387765e+01,7.074810223060991332e-02
-1.075764988436221259e+01,6.810989953754903459e-02
-1.070205479452054753e+01,6.621557261170100961e-02
-1.064645970467888247e+01,6.602821495474173186e-02
-1.059086461483721919e+01,6.919523272603061992e-02
-1.053526952499555236e+01,7.847791747610179114e-02
-1.047967443515388908e+01,9.843628668689841099e-02
-1.042407934531222224e+01,1.365140045028374882e-01
-1.036848425547055719e+01,2.047424665645267705e-01
-1.031288916562889213e+01,3.223826580725281388e-01
-1.025729407578722707e+01,5.199339970653773513e-01
-1.020169898594556024e+01,8.449962157020538545e-01
-1.014610389610389696e+01,1.370274769397487491e+00
-1.009050880626223190e+01,2.203063499399996683e+00
-1.003491371642056507e+01,3.492711147776197844e+00
-9.979318626578901785e+00,5.426003352871809682e+00
-9.923723536737234951e+00,8.188641362987581829e+00
-9.868128446895569894e+00,1.185930971706982007e+01
-9.812533357053904837e+00,1.621789307603787123e+01
-9.756938267212241556e+00,2.054434163804483404e+01
-9.701343177370572946e+00,2.365552300282964637e+01
-9.645748087528909664e+00,2.442529911465599568e+01
-9.590152997687244607e+00,2.254090790240654485e+01
-9.534557907845579550e+00,1.874527110052691370e+01
-9.478962818003914492e+00,1.428260684908786260e+01
-9.423367728162249435e+00,1.016820043356629277e+01
-9.367772638320584377e+00,6.888163068217095564e+00
